,precision,recall,fbeta
education_10th,1.0,0.2903225806451613,0.45000000000000007
education_11th,1.0,0.4,0.5714285714285715
education_12th,0.9090909090909091,0.30303030303030304,0.45454545454545453
education_1st-4th,1.0,0.16666666666666666,0.2857142857142857
education_5th-6th,0.8333333333333334,0.3125,0.45454545454545453
education_7th-8th,0.9090909090909091,0.25,0.392156862745098
education_9th,1.0,0.2222222222222222,0.3636363636363636
education_Assoc-acdm,0.7663934426229508,0.7056603773584905,0.7347740667976425
education_Assoc-voc,0.773851590106007,0.6066481994459834,0.6801242236024845
education_Bachelors,0.7841336116910229,0.8455650607834309,0.81369150779896
education_Doctorate,0.8704819277108434,0.9444444444444444,0.9059561128526646
education_HS-grad,0.8485675306957708,0.37134328358208957,0.5166112956810632
education_Masters,0.8317120622568094,0.8915537017726799,0.8605938600905889
education_Preschool,1.0,1.0,1.0
education_Prof-school,0.8953229398663697,0.950354609929078,0.9220183486238532
education_Some-college,0.7578558225508318,0.5912040374909877,0.6642365330093155
education-num,1.0,1.0,1.0
